Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Tarija,Chuquisaca,Beni,Pando
2020-04-15,4,0,84,0,32,3,3,4,18
2020-04-14,4,0,84,0,32,3,3,4,18
2020-04-13,4,0,0,0,29,3,2,5,18
2020-04-12,4,0,0,0,0,0,4,1,29
2020-04-11,5,0,0,3,0,1,4,0,29
2020-04-10,5,0,0,0,18,9,4,0,30
2020-04-09,4,0,0,0,19,9,9,4,0
2020-04-08,7,0,0,0,12,1,9,0,9
2020-04-07,7,0,0,0,12,1,9,0,9
2020-04-06,7,0,0,0,12,1,9,0,9
2020-04-05,7,0,0,0,12,1,9,0,9
2020-04-04,7,0,0,0,4,2,22,0,0
2020-04-03,7,0,0,0,4,2,22,0,0
2020-04-02,5,0,0,0,1,1,30,0,0
2020-04-01,5,0,0,0,2,1,31,0,2
2020-03-31,5,0,0,0,1,1,25,0,3
2020-03-30,5,0,0,0,2,1,16,0,0
2020-03-29,7,0,5,0,0,1,3,0,1
2020-03-28,7,0,5,0,0,1,3,0,1
2020-03-27,3,0,8,0,0,0,3,0,3
2020-03-26,2,0,9,0,0,0,1,0,0
2020-03-25,2,0,9,0,1,0,4,0,0
2020-03-24,4,0,10,0,0,1,1,0,1
2020-03-23,4,0,10,0,0,1,1,0,1
2020-03-22,25,0,10,1,0,0,4,1,1
2020-03-21,33,18,70,14,5,4,18,1,5
