Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
La Paz,Bolivia,2020-11-21T15:11:32,35383,1160,31468,-15.0,-68.333333
Cochabamba,Bolivia,2020-11-21T15:11:32,14136,1321,12351,-17.333333,-65.5
Santa Cruz,Bolivia,2020-11-21T15:11:32,44630,4374,39446,-17.33333333,-61.5
Oruro,Bolivia,2020-11-21T15:11:32,6121,323,4044,-18.666666666,-67.666666666
Potosí,Bolivia,2020-11-21T15:11:32,9342,267,5063,-20.66666667,-66.66666667
Tarija,Bolivia,2020-11-21T15:11:32,16557,401,13556,-21.583333333,-63.833333333
Chuquisaca,Bolivia,2020-11-21T15:11:32,7960,515,7018,-20.0,-64.416666666
Beni,Bolivia,2020-11-21T15:11:32,7331,374,5479,-14.0,-65.0
Pando,Bolivia,2020-11-20T03:12:13,2394,165,604,-11.183333333,-67.183333333
