Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Tarija,Chuquisaca,Beni,Pando
2020-07-27,1830,1052,2365,325,145,47,131,116,75
2020-07-26,1830,1052,2365,325,145,47,131,116,75
2020-07-25,1830,1052,2365,325,145,47,131,116,75
2020-07-24,1830,1052,2365,325,145,47,131,116,75
2020-07-23,1830,1052,2365,325,145,47,131,116,75
2020-07-22,1830,1052,2365,325,145,47,131,116,75
2020-07-21,1830,1052,2365,325,145,47,131,116,75
2020-07-20,1830,1052,2365,325,145,47,131,116,75
2020-07-19,1830,1052,2365,325,145,47,131,116,75
2020-07-18,1830,1052,2365,325,145,47,131,116,75
2020-07-17,1830,1052,2365,325,145,47,131,116,75
2020-07-16,1830,1052,2365,325,145,47,131,116,75
2020-07-15,1830,1052,2365,325,145,47,131,116,75
2020-07-14,1830,1052,2365,325,145,47,131,116,75
2020-07-13,1830,1052,2365,325,145,47,131,116,75
2020-07-12,1830,1052,2365,325,145,47,131,116,75
2020-07-11,1830,1052,2365,325,145,47,131,116,75
2020-07-10,1830,1052,2365,325,145,47,131,116,75
2020-07-09,1830,1052,2365,325,145,47,131,116,75
2020-07-08,1830,1052,2365,325,145,47,131,116,75
2020-07-07,1830,1052,2365,325,145,47,131,116,75
2020-07-06,1830,1052,2365,325,145,47,131,116,75
2020-07-05,1830,1052,2365,325,145,47,131,116,75
2020-07-04,1830,1052,2365,325,145,47,131,116,75
2020-07-03,1830,1052,2365,325,145,47,131,116,75
2020-07-02,1830,1052,2365,325,145,47,131,116,75
2020-07-01,1830,1052,2365,325,145,47,131,116,75
2020-06-30,1830,1052,2365,325,145,47,131,116,75
2020-06-29,1830,1052,2365,325,145,47,131,116,75
2020-06-28,1830,1052,2365,325,145,47,131,116,75
2020-06-27,1830,1052,2365,325,145,47,131,116,75
2020-06-26,1830,1052,2365,325,145,47,131,116,75
2020-06-25,1830,1052,2365,325,145,47,131,116,75
2020-06-24,1830,1052,2365,325,145,47,131,116,75
2020-06-23,1830,1052,2365,325,145,47,131,116,75
2020-06-22,1830,1052,2365,325,145,47,131,116,75
2020-06-21,1830,1052,2365,325,145,47,131,116,75
2020-06-20,1830,1052,2365,325,145,47,131,116,75
2020-06-19,1830,1052,2365,325,145,47,131,116,75
2020-06-18,1830,1052,2365,325,145,47,131,116,75
2020-06-17,1830,1052,2365,325,145,47,131,116,75
2020-06-16,1830,1052,2365,325,145,47,131,116,75
2020-06-15,1830,1052,2365,325,145,47,131,116,75
2020-06-14,1830,1052,2365,325,145,47,131,116,75
2020-06-13,1830,1052,2365,325,145,47,131,116,75
2020-06-12,1830,1052,2365,325,145,47,131,116,75
2020-06-11,1830,1052,2365,325,145,47,131,116,75
2020-06-10,1830,1052,2365,325,145,47,131,116,75
2020-06-09,1830,1052,2365,325,145,47,131,116,75
2020-06-08,1830,1052,2365,325,145,47,131,116,75
2020-06-07,1830,1052,2365,325,145,47,131,116,75
2020-06-06,1830,1052,2365,325,145,47,131,116,75
