Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Tarija,Chuquisaca,Beni,Pando
2020-12-16,1189,1330,4432,329,271,414,519,379,166
2020-12-22,1194,1332,4439,330,274,416,521,379,166
2020-12-23,1195,1333,4446,331,274,417,521,379,166
2020-12-24,1198,1333,4451,331,274,419,522,379,166
2021-01-01,1229,1338,4492,336,278,426,526,383,167
2021-01-11,1328,1363,4546,357,283,434,542,389,173
2021-01-21,1430,1402,4664,396,298,451,587,410,180
2021-01-22,1439,1408,4679,404,302,451,592,416,180
2021-02-08,1681,1522,5009,480,341,497,671,463,200
2021-02-09,1692,1527,5036,485,345,500,674,467,203
2021-02-12,1717,1536,5115,499,360,506,688,474,212
