Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Tarija,Chuquisaca,Beni,Pando
2020-12-23,37099,14699,48914,6434,9748,16921,8347,7401,2501
2020-12-24,37433,14765,49388,6456,9768,16973,8417,7409,2512
2020-12-25,37604,14778,49524,6470,9801,16973,8500,7409,2531
2021-01-01,39481,15510,52994,6661,9934,17175,8975,7611,2644
2021-01-11,43113,17306,58690,7062,10275,17643,10011,8231,2957
2021-01-21,47848,19319,67433,8017,11136,18305,11383,9599,3353
2021-01-22,48132,19458,68129,8178,11255,18470,11547,9724,3364
2021-02-08,56202,22289,79799,10217,12684,19546,13946,10783,3721
2021-02-09,56493,22440,80484,10298,12772,19651,14037,10821,3735
2021-02-12,57525,22860,82259,10505,13036,19905,14318,10911,3779
2021-02-21,59277,23697,84716,11019,13379,20330,14979,11061,3834
2021-03-05,61258,24941,89126,11839,13873,21333,15708,11317,3902
2021-03-06,61390,25041,89382,11883,13891,21360,15757,11341,3905
2021-03-15,62403,25595,91959,12274,14129,21961,16097,11619,4022
2021-03-17,62646,25788,92830,12362,14194,22136,16162,11867,4071
2021-03-18,62769,25852,93183,12397,14249,22218,16225,11935,4113
2021-03-24,63202,26270,94917,12573,14384,22577,16507,12382,4247
2021-03-25,63280,26347,95249,12600,14402,22645,16538,12474,4298
2021-03-26,63333,26442,95641,12650,14410,22736,16578,12547,4374
2021-03-27,63373,26529,95897,12675,14414,22765,16594,12653,4402
2021-03-28,63449,26567,95954,12692,14430,22777,16640,12686,4433
2021-03-29,63517,26642,96233,12719,14437,22867,16674,12805,4453
2021-03-30,63618,26751,96756,12770,14449,22957,16707,12902,4509
2021-03-31,63703,26907,97154,12796,14458,23058,16741,13020,4574
